"POSTE","ACTE","NB_ACTES","PRIME_ACTUELLE","PRIME_RESEAU_D","DEPENSES_ACTUELLES","DEPENSES_RESEAU_D","ECONOMIE_FCFA","ECONOMIE_PCT","ECONOMIE_TOTALE"
"HOSPITALISATION","HOSPITALISATION MEDICALE",1286,141374.853032659,133445.042298204,181808061,171610324.39549,7929.81073445579,5.60906735841056,10197736.6045102
"LABORATOIRE","NUMERATION FORMULE SANGUINE (NFS)",3257,39608.3816395456,37555.2293902632,129004499,122317382.124087,2053.15224928238,5.18363074757006,6687116.87591285
"LABORATOIRE","EXAMEN BIOLOGIQUE",2790,39290.3870967741,37662.7046537173,109620180,105078945.983871,1627.6824430569,4.14269892288878,4541234.01612893
"CONSULTATION","CONSULTATION GENERALISTE",7728,13608.8920807453,13254.3749217374,105169518,102429809.395186,354.517159007972,2.60504056395277,2739708.60481401
"OPTIQUE","VERRES BLANCS, SIMPLE FOYER",404,218684.641089109,213725.363861386,88348595,86345047,4959.27722772278,2.26777573542624,2003548
"CONSULTATION","CONSULTATION GYNECOLOGIE",2329,16642.2782310004,15839.6729624791,38759866,36890598.3296137,802.60526852136,4.82268868108638,1869267.67038626
"CONSULTATION","CONSULTATION PEDIATRIE",3307,16562.7456909586,16010.2059216099,54773000,52945750.9827638,552.539769348703,3.33603968604269,1827249.01723617
"LABORATOIRE","GOUTTE EPAISSE - QBC",1546,26376.2160413971,25308.2326912167,40777630,39126527.7406209,1067.98335018048,4.04903928791108,1651102.25937906
"OPTIQUE","VERRES BLANCS PROGRESSIFS",286,291114.363636364,285590.587412587,83258708,81678908,5523.77622377616,1.89745918228755,1579800
"LABORATOIRE","PRELEVEMENT SANGUIN",669,39960.3886397608,37775.4260056171,26733500,25271759.9977578,2184.9626341437,5.4678212813217,1461740.00224216
"LABORATOIRE","UREE",279,66491.9892473118,62561.0070913786,18551265,17454520.9784946,3930.98215593323,5.91196353189592,1096744.02150538
"CONSULTATION","CONSULTATION OPHTALMOLOGIE",1934,16770.7957600827,16212.4666967529,32434719,31354910.5915202,558.329063329804,3.3291745443512,1079808.40847984
"CONSULTATION","CONSULTATION CARDIOLOGIE",965,16791.4321243523,15877.0394743483,16203732,15321343.0927461,914.392650004027,5.44559060378119,882388.907253888
"HOSPITALISATION","MISE EN OBSERVATION EN ETABLISSEMENT",313,43890.1629392971,41380.6398176974,13737621,12952140.2629393,2509.52312159967,5.71773480328724,785480.737060709
"RADIOLOGIE","ECHOGRAPHIE PELVIENNE",659,27944.6130500759,26766.9872732171,18415500,17639444.6130501,1177.62577685876,4.21414236349773,776055.386949927
"CONSULTATION","CONSULTATION GENERALISTE (NUIT, DIMANCHE, JOURS FERIES)",1084,18877.1097785978,18206.9646297708,20462787,19736349.6586716,670.145148826952,3.55004106394899,726437.341328412
"EXPLORATIONS FONCTIONNELLES","ELECTROCARDIOGRAMME (ECG)",268,34111.9402985075,31718.2835820896,9142000,8500500,2393.65671641791,7.01706409975935,641500
"RADIOLOGIE","ECHOGRAPHIE ABDOMINALE",377,30939.5225464191,29512.8369298313,11664200,11126339.5225464,1426.68561658775,4.6112076049243,537860.477453582
"RADIOLOGIE","ELECTROCARDIOGRAMME (ECG)",326,27986.1963190184,26573.6196319018,9123500,8663000,1412.57668711658,5.04740505288546,460500
"SOINS AMBULATOIRES","INJECTION INTRAVEINEUSE",839,8444.50297973778,7899.06165294117,7084938,6627312.72681764,545.441326796616,6.45912883334138,457625.273182359
"RADIOLOGIE","ECHOGRAPHIE OBSTETRICALE",361,27871.1911357341,26660.1445848253,10061500,9624312.19512195,1211.04655090872,4.34515534341847,437187.804878049
"CONSULTATION","CONSULTATION DERMATOLOGIE",474,16461.5485232068,15652.7932489451,7802774,7419424,808.755274261604,4.912996326691,383350
"DENTISTERIE","CONSULTATION DENTAIRE",697,15000.8048780488,14456.0416068867,10455561,10075861,544.763271162132,3.6315602768709,379700
"CONSULTATION","CONSULTATION PEDIATRIE (NUIT, DIMANCHE ET JOUR FERIE)",504,23572.9484126984,22823.4899770093,11880766,11503038.9484127,749.458435689085,3.17931563997893,377727.051587302
"CONSULTATION","CONSULTATION ORL",823,16971.4738760632,16526.212636695,13967523,13601073,445.261239368167,2.62358615768881,366450
"DENTISTERIE","RADIO RETRO ALVEOLAIRE",249,23882.3293172691,22691.8072289157,5946700,5650260,1190.52208835341,4.98494963593252,296440
"CONSULTATION","CONSULTATION RHUMATOLOGIE",308,17094.1558441558,16370.1108955979,5265000,5041994.15584416,724.044948557936,4.2356285689619,223005.844155844
"CONSULTATION","CONSULTATION DIABETOLOGIE",367,17070.8446866485,16500.5449591281,6265000,6055700,570.299727520436,3.34078212290503,209300
"SOINS AMBULATOIRES","PHARMACIE",450,9729.24666666666,9306.89265222043,4378161,4188101.6934992,422.354014446228,4.34107623042649,190059.306500803
"EXPLORATIONS FONCTIONNELLES","FOND D'ŒIL A 3 MIROIRS",332,17801.5060240964,17265.9337349398,5910100,5732290,535.572289156622,3.00857853505014,177810
"SOINS AMBULATOIRES","INJECTION INTRA-MUSCULAIRE",506,8093.87747035573,7848.02180318393,4095502,3971099.03241107,245.855667171806,3.03755113753903,124402.967588932
"MATERNITÉ","ECHOGRAPHIE OBSTETRICALE",49,28163.2653061224,26316.3265306122,1380000,1289500,1846.9387755102,6.55797101449275,90500
"CONSULTATION","CONSULTATION DENTAIRE",191,14158.0104712042,13815,2704180,2638665,343.010471204188,2.42273073538004,65515
"PHARMACIE","PHARMACIE",29454,15049.5265159232,15048.3681322104,443268754,443234634.966125,1.15838371274549,0.00769714390362952,34119.0338750482
"MATERNITÉ","NUMERATION FORMULE SANGUINE (NFS)",2,120522.5,108470.25,241045,216940.5,12052.25,10,24104.5
"LABORATOIRE","CONSULTATION GYNECOLOGIE",1,218800,196920,218800,196920,21880,10,21880
