"POSTE","NB_ACTES","PRIME_ACTUELLE","PRIME_RESEAU_D","DEPENSES_ACTUELLES","DEPENSES_RESEAU_D","ECONOMIE_FCFA","ECONOMIE_PCT","ECONOMIE_TOTALE"
"LABORATOIRE",10194,39814.2302334707,37840.7483784428,405866263,385748588.969846,1973.48185502797,4.95672487815405,20117674.0301542
"HOSPITALISATION",1803,172416.499722684,162261.853186668,310866949,292558121.295563,10154.6465360161,5.88960253360257,18308827.7044373
"CONSULTATION",21456,15890.8960663684,15325.940535603,340955066,328833380.131898,564.955530765446,3.55521506405873,12121685.8681023
"RADIOLOGIE",3849,44571.8508703559,41904.032193345,171557054,161288619.912185,2667.81867701091,5.98543391157498,10268434.0878151
"MATERNITÉ",204,450762.112745098,422248.527513456,91955471,86138699.6127451,28513.5852316417,6.32563927300736,5816771.38725489
"EXPLORATIONS FONCTIONNELLES",1617,59155.7804576376,55819.8973784263,95654897,90260774.0609153,3335.88307921133,5.63914980650151,5394122.93908472
"OPTIQUE",1072,255060.617537313,250278.538992537,273424982,268298593.8,4782.07854477604,1.87487923104258,5126388.19999999
"DENTISTERIE",1875,47748.1392,45562.5392,89527761,85429761,2185.59999999995,4.57735115256587,4098000
"SOINS AMBULATOIRES",2535,19991.9629191321,19259.8239589339,50679626,48823653.7358974,732.138960198186,3.66216645738942,1855972.26410258
"DEVIS CHIRURGIE",18,848601.555555556,779145.844444444,15274828,14024625.2,69455.7111111111,8.18472587710971,1250202.8
"PHARMACIE",29457,15048.4752011407,15047.2829879214,443282934,443247814.975201,1.19221321929399,0.00792248519108182,35119.0247988701
"TRANSPORT PAR AMBULANCE",2,37500,35000,75000,70000,2500,6.66666666666667,5000
"BPO",1,40000,36000,40000,36000,4000,10,4000
