"ZONE_GEO","COMMUNE","ACTE","POSTE","PRESTATAIRE","COUT_MOYEN","NB_ACTES","NB_PATIENTS","PART_FLUX","RATIO_COUT","CLINIQUE_ALTERNATIVE","COUT_ALTERNATIVE","ECONOMIE_REDIRECTION"
"ABIDJAN","COCODY","HOSPITALISATION MEDICALE","HOSPITALISATION","POLYCLINIQUE INTERNATIONALE SAINTE ANNE MARIE (P.I.S.A.M)",340725.589285714,56,33,0.10727969348659,2.91829548443933,"GROUPE MEDICAL ZOE",71936.8421052632,15052169.8421053
"ABIDJAN","MARCORY","PHARMACIE","PHARMACIE","PHARMACIE PTT",34729.8241469816,381,183,0.191169091821375,2.68940376244588,"PHARMACIE GRAND MARCHE",10037.2916666667,9407854.875
"ABIDJAN","MARCORY","EXAMEN BIOLOGIQUE","LABORATOIRE","POLYCLINIQUE FARAH",77465.5985915493,142,114,0.651376146788991,1.94759518771966,"CENTRE MEDICAL PRIMA",31728.3333333333,6494691.66666666
"ABIDJAN","COCODY","NUMERATION FORMULE SANGUINE (NFS)","LABORATOIRE","POLYCLINIQUE INTERNATIONALE SAINTE ANNE MARIE (P.I.S.A.M)",89528.3421052632,76,63,0.0557593543653705,2.59042546508773,"GROUPE MEDICAL ZOE",17861.7021276596,5446664.63829787
"ABIDJAN","YOPOUGON","PHARMACIE","PHARMACIE","PHARMACIE KENEYA - YOPOUGON",38253.8086419753,162,80,0.0481999404939006,3.27706783273026,"CENTRE MEDICAL LA CHRYSALIDE",5306.53846153846,5337457.76923077
"ABIDJAN","COCODY","HOSPITALISATION MEDICALE","HOSPITALISATION","HOTEL DE LA SANTE SAINTE HENRIETTE",212087,32,21,0.0613026819923372,1.81651321142563,"GROUPE MEDICAL ZOE",71936.8421052632,4484805.05263158
"ABIDJAN","COCODY","HOSPITALISATION MEDICALE","HOSPITALISATION","CLINIQUE LA PROVIDENCE",295164.3,20,13,0.0383141762452107,2.52806560746863,"GROUPE MEDICAL ZOE",71936.8421052632,4464549.15789474
"ABIDJAN","COCODY","PHARMACIE","PHARMACIE","PHARMACIE DU LYCEE TECHNIQUE",23881.6433566433,286,186,0.0308855291576674,1.93786963158293,"PHARMACIE DES CITES",8363.59090909091,4438163
"ABIDJAN","COCODY","PHARMACIE","PHARMACIE","PHARMACIE RIVIERA III",40589.6851851852,108,73,0.0116630669546436,3.29363926515556,"PHARMACIE DES CITES",8363.59090909091,3480418.18181818
"ABIDJAN","COCODY","PHARMACIE","PHARMACIE","PHARMACIE STE AGATHE - COCODY",31715.9448818898,127,95,0.0137149028077754,2.57358195605392,"PHARMACIE DES CITES",8363.59090909091,2965748.95454546
