"PRESTATAIRE","TYPE","ZONE_GEO","LIGNES","VISITES","PATIENTS","DEPENSES_TOTALES","FRAIS_REELS","REJETS_TOTAL","COUT_MOYEN_VISITE","COUT_MOYEN_PATIENT","TAUX_REJET","FREQUENCE_BRUTE","PART_CHRONIQUES","MEDIANE_COUT_VISITE","MEDIANE_FREQUENCE","MEDIANE_REJET","INDICE_COUT","INDICE_FREQUENCE","INDICE_REJET","PROFIL_RISQUE","INDICE_COUT_AJUSTE","INDICE_FREQ_AJUSTE","LIFT_RADIO","LIFT_LABO","LIFT_MULTI","FLAG_DEMANDE_INDUITE","SCORE_COUT","SCORE_FREQ","SCORE_ACTES","SCORE_REJET","SCORE_ANOMALIE_BRUT","SCORE_ANOMALIE","VOL_PERCENTILE","SCORE_ECONOMIE","SCORE_SAIN","SCORE_RESEAU_BRUT","SCORE_RESEAU","DECISION"
"3'O","Autre","ABIDJAN",1,1,1,11530,11530,0,11530,11530,0,1,0,31737.9656862745,1,0.0133114157048418,0.269222544534868,0.0815903054448871,0,"Économique",0.269222544534868,0.0815903054448871,1,1,1,0,0.134611272267434,0.0407951527224436,0.333333333333333,0,0.152621927496963,15.2621927496963,0.0892759934676102,0.865388727732566,0.847378072503037,0.702961918787763,70.2961918787763,"SURVEILLER (FAIBLE VOLUME)"
"7 OPTIQUE PLUS KOUMASSI","Optique","ABIDJAN",5,5,5,853888.888888889,670000,183888.888888889,170777.777777778,170777.777777778,0.274461028192371,1,0,317347.222222222,1,0.452767755831414,3.98761733593613,0.0815903054448871,0.606185013525048,"Coût Élevé",3.98761733593613,0.0815903054448871,1,1,1,0,1,0.0407951527224436,0.333333333333333,0.303092506762524,0.442547796492985,44.2547796492985,0.729994556341862,0,0.557452203507015,0.368979792671178,36.8979792671178,"SURVEILLER (FAIBLE VOLUME)"
"A. VISION","Optique","ABIDJAN",1,1,1,173333.333333333,170000,3333.33333333332,173333.333333333,173333.333333333,0.0196078431372548,1,0,317347.222222222,1,0.452767755831414,4.04728890309718,0.0815903054448871,0.0433066243890294,"Coût Élevé",4.04728890309718,0.0815903054448871,1,1,1,0,1,0.0407951527224436,0.333333333333333,0.0216533121945147,0.414403877036184,41.4403877036184,0.452367991290147,0,0.585596122963816,0.324712047443556,32.4712047443556,"SURVEILLER (FAIBLE VOLUME)"
"ABRAHAM OPTIQUE","Optique","ABIDJAN",1,1,1,305000,190000,115000,305000,305000,0.605263157894737,1,0,317347.222222222,1,0.452767755831414,7.12167181987292,0.0815903054448871,1.33680711600873,"Coût Élevé",7.12167181987292,0.0815903054448871,1,1,1,0,1,0.0407951527224436,0.333333333333333,0.668403558004365,0.47907890161717,47.907890161717,0.550353837778987,0,0.52092109838283,0.31843920690893,31.843920690893,"SURVEILLER (FAIBLE VOLUME)"
"ACDS AU CENTRE DES SENS","Centre Medical","ABIDJAN",1,1,1,25000,25000,0,25000,25000,0,1,0,33841.4752475248,1.23636363636364,0.0589823610679747,0.583743591792862,0.0815903054448871,0,"Économique",0.583743591792862,0.0815903054448871,1,0,1,0,0.291871795896431,0.0407951527224436,0.333333333333333,0,0.199800084585662,19.9800084585662,0.196516058791508,0.708128204103569,0.800199915414338,0.642634459565464,64.2634459565464,"SURVEILLER (FAIBLE VOLUME)"
"ACUITIX OPTIC","Optique","ABIDJAN",5,5,5,1874444.44444444,1190000,684444.444444444,374888.888888889,374888.888888889,0.57516339869281,1,0,317347.222222222,1,0.452767755831414,8.7535594609294,0.0815903054448871,1.27032764874487,"Coût Élevé",8.7535594609294,0.0815903054448871,1,1,1,0,1,0.0407951527224436,0.333333333333333,0.635163824372434,0.475754928253976,47.5754928253976,0.84594447468699,0,0.524245071746024,0.378886923635807,37.8886923635807,"SURVEILLER (FAIBLE VOLUME)"
"ADORS VISION","Optique","ABIDJAN",1,1,1,140000,140000,0,140000,140000,0,1,0,317347.222222222,1,0.452767755831414,3.26896411404003,0.0815903054448871,0,"Coût Élevé",3.26896411404003,0.0815903054448871,1,1,1,0,1,0.0407951527224436,0.333333333333333,0,0.412238545816733,41.2238545816733,0.422427871529668,0,0.587761454183267,0.31959015597924,31.959015597924,"SURVEILLER (FAIBLE VOLUME)"
"ADVANCE VISION","Optique","ABIDJAN",2,2,2,1399600,834800,564800,699800,699800,0.676569238140872,1,0.5,317347.222222222,1,0.452767755831414,13.3516889989334,0.0738894347796492,1.49429642333627,"Coût Élevé",13.3516889989334,0.0738894347796492,1,1,1,0,1,0.0369447173898246,0.333333333333333,0.747148211668136,0.485798236383761,48.5798236383761,0.80729450190528,0,0.514201763616239,0.367139605827552,36.7139605827552,"SURVEILLER (FAIBLE VOLUME)"
"AFOSUCOA - FSUCOM OUASSAKARA","Centre Medical","ABIDJAN",94,74,56,1083475,965225,118250,14641.5540540541,19347.7678571429,0.12251029552695,1.32142857142857,0.0319148936170213,33841.4752475248,1.23636363636364,0.0589823610679747,0.337789708002039,0.107019068473549,2.07706665702585,"Économique",0.337789708002039,0.107019068473549,1,2.0922619047619,1,1,0.168894854001019,0.0535095342367744,0.697420634920635,1,0.375947506947529,37.5947506947529,0.771910724006532,0.831105145998981,0.624052493052471,0.736445200421887,73.6445200421887,"CONSERVER"
"AFOSUCOA WASSAKARA","Autre","ABIDJAN",1,1,1,33910,29500,4410,33910,33910,0.149491525423729,1,0,31737.9656862745,1,0.0133114157048418,0.791789807907838,0.0815903054448871,11.2303250637236,"Économique",0.791789807907838,0.0815903054448871,1,1,1,0,0.395894903953919,0.0407951527224436,0.333333333333333,1,0.331007017002909,33.1007017002909,0.235166031573217,0.604105096046081,0.668992982997091,0.556272437931912,55.6272437931912,"SURVEILLER (FAIBLE VOLUME)"
