"CLASSE_AGE","SEXE","FILIATION","AFFECTION_CHR_NUM","ZONE_GEO","TYPE_CONTRAT","TAUX_COUVERTURE_freq","ANNEE_freq","EXPOSITION_ANNEES","POSTE_CONSOMMATION","freq_predite","se_freq","TAUX_COUVERTURE_sev","ANNEE_sev","cout_predit","se_sev","ic_low","ic_high","prime_pure","var_prime_pure","se_prime_pure","pp_ic_low","pp_ic_high"
"1","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",6.11831424831951,0.305915712415976,0.8,2025,16251.7603173146,232.468715005359,15796.1216359041,16707.3989987251,99433.3767096996,26745533.1279558,5171.60836954577,89297.0243053899,109569.729114009
"2","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",5.14669952960608,0.257334976480304,0.8,2025,16146.7053926982,223.858550602025,15707.9426335182,16585.4681518781,83102.2410492878,18595684.4445989,4312.27137882102,74650.1891467986,91554.292951777
"3","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",3.27431040732122,0.163715520366061,0.8,2025,15855.9297027879,203.725954567161,15456.6268318363,16255.2325737395,51917.2356435921,7184582.55106669,2680.407161434,46663.6376071814,57170.8336800027
"4","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",3.30573997427062,0.165286998713531,0.8,2025,15544.8270930157,143.417981077496,15263.7278501038,15825.9263359276,51387.1563145069,6826934.7491402,2612.84036043923,46265.989208046,56508.3234209678
"5","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",3.64758996203431,0.182379498101716,0.8,2025,15992.4756533813,63.8593534479951,15867.3113206232,16117.6399861393,58333.9936613518,8561530.34514483,2926.00928657871,52599.0154596575,64068.9718630461
"6","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",3.2855405398207,0.164277026991035,0.8,2025,15799.3390810862,73.7695557224188,15654.7507518702,15943.9274103021,51909.3690532823,6795347.95642939,2606.78882083482,46800.062964446,57018.6751421185
"7","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",3.48067353158086,0.174033676579043,0.8,2025,15899.8183461957,104.423964848044,15695.1473750935,16104.4893172979,55342.0768745472,7789301.28756854,2790.93197472968,49871.850204077,60812.3035450174
"8","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",4.76843831231587,0.238421915615793,0.8,2025,16070.2872999938,159.38559855541,15757.8915268252,16382.6830731625,76630.1736512136,15259533.8622204,3906.3453332009,68973.7367981398,84286.6105042873
"9","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",5.08085242351227,0.254042621175614,0.8,2025,16076.1049717036,144.564927983425,15792.7577128561,16359.4522305512,81680.3169061179,17220043.6405294,4149.70404252272,73546.8969827734,89813.7368294624
"10","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",7.604689796584,0.3802344898292,0.8,2025,16126.0750728897,116.566169767887,15897.6053801446,16354.5447656347,122633.798565752,38385378.6844509,6195.59348928341,110490.435326756,134777.161804747
"1","M","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",4.76802604149357,0.238401302074678,0.8,2025,16028.5768689491,229.775184923369,15578.2175064993,16478.9362313989,76424.6719192307,15805109.4340221,3975.5640397335,68632.5664013531,84216.7774371084
"2","M","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",1,"CONSULTATION",4.02507519530202,0.201253759765101,0.8,2025,15924.9646508386,221.125076401765,15491.5595010912,16358.3698005861,64099.1802021519,11065922.9159723,3326.548198354,57579.1457333781,70619.2146709258
