"CLASSE_AGE","SEXE","FILIATION","AFFECTION_CHR_NUM","ZONE_GEO","TYPE_CONTRAT","TAUX_COUVERTURE","ANNEE","pp_totale","pp_ic_low","pp_ic_high","se_pp_boot","pp_p75","pp_p90","cv_prime","chargement_75","chargement_90"
"1","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",490407.314646122,450114.459555167,530152.033754495,35891.0223525561,524608.857351153,528304.308286714,0.0731861480868307,0.06974109415499,0.077276566863483
"2","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",448534.146413582,411822.76848831,488576.721894621,34867.9672340999,477746.044998467,484966.49626257,0.0777375981581323,0.065127479855121,0.0812253652041779
"3","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",325871.120146019,292770.941317071,356851.249666614,28232.3535749701,343249.334625026,352317.277986085,0.0866365622161286,0.0533284891009064,0.0811552672363711
"4","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",313831.629411935,270885.976505717,332381.897196199,27549.0077732828,324991.961918288,329918.585436895,0.087782763722397,0.0355615287320291,0.0512598301678627
"5","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",335724.417535801,318884.645377531,350570.820233715,12437.9189678533,339436.831113501,346859.490526977,0.0370480022250004,0.0110579194833363,0.033167301541268
"6","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",298524.59278903,287870.118892843,304618.430774704,7129.96230120258,303431.144000477,304222.668516628,0.0238840031053702,0.0164360033644333,0.019087458337562
"7","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",358209.332006546,334591.253036137,388847.211663771,22640.2059977744,363160.336255176,380284.919860906,0.0632038419293909,0.0138215389892176,0.0616276179369792
"8","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",479421.373217078,462939.616451446,493318.182092878,11944.954829284,482391.229057714,489675.86441449,0.0249153573382208,0.00619466716868955,0.0213893075492257
"9","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",487869.295755044,469665.765226888,504602.36240081,15135.5682757395,497796.487332049,502333.73737789,0.0310238180747063,0.0203480556439629,0.0296481900966122
"10","F","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",881775.392084948,804352.692068994,940334.445263702,54552.5316257936,899394.643818784,926687.844782063,0.0618666977049617,0.0199815643439261,0.0509341189380666
"1","M","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",375166.764459578,343505.826476407,403114.421112002,24048.3066298166,388819.251472415,398349.364565473,0.0641003119358344,0.0363904490113972,0.0617927873736084
"2","M","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",344095.269020792,316566.691532756,367404.140606735,23661.3168352282,363930.746819229,366246.342677566,0.0687638539831203,0.0576453080999445,0.0643748277034176
"3","M","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",242548.391826839,223146.780755881,269344.225550874,19677.3630407979,249937.570570214,262875.340557321,0.0811275757905088,0.0304647608162683,0.083805745226273
"4","M","ASSURÉ PRINCIPAL","0","ABIDJAN","INDIVIDUEL",0.8,"2025",232583.979957127,201905.843798315,246564.527329121,19720.3145959945,243190.647079942,245439.900579395,0.0847879316521698,0.0456036014379442,0.0552743169354897
